School ID,Q1(%),Q2(%),Q3(%),Q4(%),School,Board,Num students,Level 1 (%),Level 2 (%),Level 3 (%),Level 4 (%),Num F,Num M,Q8(%),Q11(%),Q5(%),Q6(%),Q7(%),School UPPER,Board lower,School lenght,Board Reverse,School Left,School Right,Total male and female
890723,43,47,40,27,Agincourt CI,Toronto DSB,263,1,7,73,18,138,125,32,59,69,32,59,AGINCOURT CI,toronto dsb,12,BSD otnoroT,Agi, CI,263
890880,60,48,38,46,Albert Campbell CI,Toronto DSB,250,6,10,70,13,116,134,48,57,72,40,66,ALBERT CAMPBELL CI,toronto dsb,18,BSD otnoroT,Alb, CI,250
892203,60,52,37,38,Applewood Heights SS,Peel District School Board,184,8,11,74,4,89,95,34,58,75,23,65,APPLEWOOD HEIGHTS SS,peel district school board,20,draoB loohcS tcirtsiD leeP,App, SS,184
895016,46,47,38,39,Birchmount Park CI,Toronto DSB,127,6,23,66,2,53,74,28,54,59,19,68,BIRCHMOUNT PARK CI,toronto dsb,18,BSD otnoroT,Bir, CI,127
895920,54,49,39,36,Bramalea SS,Peel District School Board,165,9,18,68,4,67,98,35,61,70,22,72,BRAMALEA SS,peel district school board,11,draoB loohcS tcirtsiD leeP,Bra, SS,165
896055,62,50,48,47,Brampton Centennial SS,Peel District School Board,151,6,8,77,9,70,81,40,61,77,27,72,BRAMPTON CENTENNIAL SS,peel district school board,22,draoB loohcS tcirtsiD leeP,Bra, SS,151
897744,51,47,34,38,C W Jefferys CI,Toronto DSB,109,17,23,50,7,51,58,35,62,68,28,69,C W JEFFERYS CI,toronto dsb,15,BSD otnoroT,C W, CI,109
898090,69,66,56,52,Cameron Heights CI,Waterloo Region DSB,348,3,7,70,19,196,152,39,63,81,40,81,CAMERON HEIGHTS CI,waterloo region dsb,18,BSD noigeR oolretaW,Cam, CI,348
898910,40,40,33,20,Rosedale Heights School of the Arts,Toronto DSB,185,6,12,76,4,150,35,19,38,61,24,57,ROSEDALE HEIGHTS SCHOOL OF THE ARTS,toronto dsb,35,BSD otnoroT,Ros,rts,185
899003,49,50,44,33,Cawthra Park SS,Peel District School Board,305,2,5,73,20,213,92,29,55,70,22,66,CAWTHRA PARK SS,peel district school board,15,draoB loohcS tcirtsiD leeP,Caw, SS,305
899178,46,43,32,31,Cedarbrae CI,Toronto DSB,206,15,21,57,5,119,87,34,61,61,24,67,CEDARBRAE CI,toronto dsb,12,BSD otnoroT,Ced, CI,206
901342,68,68,57,51,Chinguacousy SS,Peel District School Board,171,4,9,73,14,63,108,44,69,80,51,74,CHINGUACOUSY SS,peel district school board,15,draoB loohcS tcirtsiD leeP,Chi, SS,171
901660,50,43,33,34,Clarkson SS,Peel District School Board,134,9,13,70,7,69,65,27,53,62,18,67,CLARKSON SS,peel district school board,11,draoB loohcS tcirtsiD leeP,Cla, SS,134
903469,71,63,63,57,Danforth CI & TS,Toronto DSB,130,3,8,72,14,49,81,43,72,77,51,64,DANFORTH CI & TS,toronto dsb,16,BSD otnoroT,Dan, TS,130
903590,51,41,42,30,David & Mary Thomson CI,Toronto DSB,133,13,23,56,5,53,80,29,42,65,27,60,DAVID & MARY THOMSON CI,toronto dsb,23,BSD otnoroT,Dav, CI,133
904203,47,44,40,34,Louise Arbour S.S.,Peel District School Board,270,9,13,74,5,121,149,29,59,73,23,72,LOUISE ARBOUR S.S.,peel district school board,18,draoB loohcS tcirtsiD leeP,Lou,.S.,270
906450,58,53,47,40,Earl Haig SS,Toronto DSB,385,2,5,67,26,226,159,36,55,75,34,62,EARL HAIG SS,toronto dsb,12,BSD otnoroT,Ear, SS,385
906840,54,58,39,37,East York CI,Toronto DSB,133,8,16,68,4,64,69,39,58,76,36,70,EAST YORK CI,toronto dsb,12,BSD otnoroT,Eas, CI,133
